id,magnitude,location,timestamp,longitude,latitude
68,0.54,"12 km NE of Ashford, Washington",2023-01-29 16:25:23.410,-121.92,46.85
69,0.36,"23 km ENE of Ashford, Washington",2023-01-29 19:41:06.370,-121.75,46.84
70,0.27,Washington,2023-01-29 23:14:34.740,-121.75,46.85
71,-0.14,"22 km ENE of Ashford, Washington",2023-01-30 09:39:41.580,-121.77,46.85
72,1.38,"0 km SE of Eatonville, Washington",2023-01-30 21:38:10.510,-122.26,46.87
73,1.51,"6 km WSW of Port Ludlow, Washington",2023-01-31 00:10:54.070,-122.75,47.90
74,0.11,"23 km ENE of Ashford, Washington",2023-01-31 07:09:20.350,-121.76,46.85
75,1.61,"11 km S of Shelton, Washington",2023-01-31 21:59:55.860,-123.12,47.12
76,1.14,"3 km NE of Swede Heaven, Washington",2023-01-31 22:25:38.250,-121.69,48.30
77,1.20,"12 km ESE of Enumclaw, Washington",2023-01-31 22:44:10.680,-121.84,47.16
78,0.43,Washington,2023-02-01 01:18:52.930,-121.76,46.85
79,1.36,"4 km WNW of Burlington, Washington",2023-02-01 04:01:56.640,-122.38,48.50
80,0.94,Washington,2023-02-01 10:40:49.490,-121.94,46.85
81,1.56,"0 km SW of Esperance, Washington",2023-02-01 20:09:47.230,-122.36,47.79
82,1.22,"2 km E of Tracyton, Washington",2023-02-02 06:16:12.520,-122.62,47.61
83,0.24,"22 km ENE of Ashford, Washington",2023-02-02 11:24:59.700,-121.77,46.85
84,1.11,"4 km SW of Swede Heaven, Washington",2023-02-02 19:17:34.010,-121.77,48.26
85,1.45,"10 km SSE of Rainier, Washington",2023-02-02 20:08:27.810,-122.65,46.79
86,0.46,"15 km S of Carbonado, Washington",2023-02-03 12:23:06.620,-122.02,46.94
87,0.40,"22 km ENE of Ashford, Washington",2023-02-03 15:52:50.900,-121.76,46.85
88,0.60,"22 km ENE of Ashford, Washington",2023-02-03 18:20:33.350,-121.76,46.85
89,0.75,"23 km ENE of Ashford, Washington",2023-02-04 23:42:26.650,-121.76,46.85
90,1.53,"3 km ENE of Lake Marcel-Stillwater, Washington",2023-02-05 05:26:27.160,-121.88,47.70
91,0.70,"25 km ENE of Ashford, Washington",2023-02-05 11:10:56.090,-121.74,46.87
92,1.60,Washington,2023-02-05 11:11:05.960,-121.74,46.86
93,0.44,"25 km ENE of Ashford, Washington",2023-02-05 11:12:49.550,-121.73,46.87
94,0.78,"10 km SSE of Carbonado, Washington",2023-02-05 20:00:29.820,-122.00,46.99
95,1.35,"2 km NNW of Redmond, Washington",2023-02-06 08:32:03.010,-122.14,47.70
96,1.36,"13 km NNE of Ashford, Washington",2023-02-07 10:31:11.810,-121.96,46.87
97,1.69,"3 km SSE of Quilcene, Washington",2023-02-07 16:50:11.930,-122.86,47.79
98,0.97,"11 km SSE of Carbonado, Washington",2023-02-08 04:56:01.510,-121.98,46.99
99,1.07,"15 km NE of Ashford, Washington",2023-02-09 10:25:00.550,-121.92,46.87
100,0.33,"22 km ENE of Ashford, Washington",2023-02-09 22:25:13.760,-121.76,46.85
101,0.57,"14 km NE of Ashford, Washington",2023-02-10 07:19:42.700,-121.92,46.87
102,0.47,Washington,2023-02-10 17:35:52.360,-121.92,46.84
103,1.34,"Puget Sound region, Washington",2023-02-10 20:52:14.270,-122.21,47.00
104,0.77,"4 km N of Prairie Heights, Washington",2023-02-11 00:43:28.910,-122.11,47.19
105,1.17,"23 km ENE of Ashford, Washington",2023-02-11 01:46:23.390,-121.76,46.85
106,0.95,"23 km ENE of Ashford, Washington",2023-02-11 02:09:08.160,-121.76,46.85
